Linea ;  2  Error en GEnero  caracter  incorrecto
Linea ;  6  Error en GEnero  caracter  incorrecto
Linea  : 8  Error en RegistroPersonal  incorrecto
Linea ;  14  Error en GEnero  caracter  incorrecto
Linea ;  17  Error en GEnero  caracter  incorrecto
Linea : 20 Error  en Id Repetido  incorrecto
Linea ;  23  Error en GEnero  caracter  incorrecto
Linea ;  27  Error en GEnero  caracter  incorrecto
Linea : 30 Error  en Id Repetido  incorrecto
Linea ;  33  Error en GEnero  caracter  incorrecto
Linea ;  37  Error en GEnero  caracter  incorrecto
Linea ;  65  Error en GEnero  caracter  incorrecto
Linea ;  86  Error en GEnero  caracter  incorrecto
 REPORET DE LOG Alumnos
Fecha / Hora Sun Jun 13 14:29:52 CST 2021
